ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
1429769_at	0.0028837	4.03E-06	-10.66845	4.893203	-1.0793455	Pggt1b
1422217_a_at	0.0029084	4.13E-06	10.63518	4.871473	0.9909021	Cyp1a1
1420658_at	0.0029725	4.28E-06	10.5842	4.838014	1.847311	Ucp3
1420569_at	0.0030752	4.55E-06	-10.50177	4.783495	-2.23032	Chad
1450760_a_at	0.0030752	4.57E-06	-10.496881	4.780245	-1.2070507	Ing3
1418190_at	0.0031265	4.72E-06	-10.451916	4.750268	-2.0769364	Pon1
1452027_a_at	0.0031265	4.83E-06	10.422579	4.730626	0.9432611	Trp63
1439122_at	0.0031265	4.85E-06	-10.415452	4.725843	-1.0527781	Ddx6
1449876_at	0.0032055	5.09E-06	-10.350148	4.681842	-0.9287391	Prkg1
1416168_at	0.0032055	5.12E-06	-10.344248	4.67785	-1.2871939	Serpinf1
1424443_at	0.0032174	5.21E-06	-10.320859	4.661998	-1.1124847	Tm6sf1
1455387_at	0.0032585	5.35E-06	-10.285835	4.63818	-1.4335292	Nufip2
1419103_a_at	0.0033019	5.52E-06	10.24371	4.609404	1.0006386	Abhd6
1428536_at	0.0033019	5.57E-06	-10.230304	4.600216	-1.3612752	Kcng4
1434963_at	0.0033019	5.71E-06	10.199297	4.578911	1.0826036	Supt3
1449799_s_at	0.0033019	5.71E-06	10.198557	4.578402	1.334199	Pkp2
1451353_at	0.0033859	6.08E-06	-10.116921	4.521933	-0.943244	Tm6sf1
1422514_at	0.0033859	6.11E-06	-10.108866	4.516332	-0.9379971	Aebp1
1457434_s_at	0.0033859	6.15E-06	-10.10162	4.511289	-1.0839703	Hacd1
1434900_at	0.0033859	6.16E-06	-10.099791	4.510015	-1.0308261	Mkl1
1438596_at	0.0035164	6.52E-06	10.024171	4.457118	0.821492	1500017E21Rik
1416658_at	0.0035164	6.55E-06	-10.019008	4.45349	-1.3369565	Frzb
1448392_at	0.0036251	6.83E-06	-9.9642	4.414832	-1.5897997	Sparc
1416033_at	0.0036289	6.92E-06	-9.947697	4.403143	-1.1222019	Tmem109
1427201_at	0.0036339	7.01E-06	9.930268	4.390774	1.6004706	Mustn1
1417400_at	0.0036339	7.09E-06	9.916268	4.38082	1.4174176	Rai14
1426009_a_at	0.0037578	7.49E-06	-9.845824	4.330484	-0.9871014	Pip5k1a
1416178_a_at	0.0037578	7.50E-06	9.844344	4.329422	0.9867357	Plekhb1
1434449_at	0.0037584	7.58E-06	-9.830013	4.319128	-1.3474184	Aqp4
1451929_a_at	0.0037828	7.80E-06	-9.79425	4.293365	-0.7915791	Vrk2
AFFX-18SRNAMur/X00686_3_at	0.0037828	7.80E-06	-9.793979	4.29317	-1.4125593	
1438966_x_at	0.0039132	8.16E-06	-9.737263	4.252086	-1.9318829	Fmod
1420884_at	0.0039942	8.41E-06	9.69793	4.223432	3.8510981	Sln
1450178_at	0.0040026	8.52E-06	-9.682043	4.211821	-0.8317526	Brdt
1448818_at	0.0041136	8.89E-06	-9.629082	4.172954	-1.0586402	Wnt5a
1434411_at	0.0041136	8.94E-06	-9.62166	4.167488	-1.3700861	Col12a1
1454747_a_at	0.004116	9.17E-06	-9.590084	4.144178	-0.8653348	Klhdc3
1424354_at	0.004116	9.18E-06	9.588432	4.142955	0.8893819	Tmem140
1416726_s_at	0.004116	9.22E-06	-9.583121	4.139025	-0.838212	Ube2s
1450511_at	0.0041749	9.44E-06	9.553051	4.116727	1.0805476	Musk
1427902_at	0.004259	9.73E-06	-9.516035	4.089168	-1.9941532	Srrm2
1429183_at	0.0042824	9.88E-06	9.496563	4.074623	1.1765754	Pkp2
1436204_at	0.0042824	1.01E-05	-9.472365	4.056499	-0.9951897	1110059G02Rik///Sntb1
1415939_at	0.0042824	1.02E-05	-9.452324	4.041449	-2.2123039	Fmod
1457102_at	0.0042824	1.03E-05	-9.449832	4.039575	-2.0528011	A030001D16Rik
1423488_at	0.0042824	1.04E-05	-9.438658	4.031166	-0.853765	Mmd
1438133_a_at	0.0042824	1.04E-05	9.430213	4.024803	1.4435284	Cyr61
1416419_s_at	0.0042824	1.04E-05	9.427782	4.02297	0.8019442	Gabarapl1
1456242_at	0.0043751	1.08E-05	9.390246	3.994602	1.6149038	Gm7325
1423717_at	0.0044438	1.10E-05	-9.360109	3.971734	-0.7366223	Ak3
1447807_s_at	0.0044723	1.12E-05	9.341386	3.957485	0.828468	Plekhh1
1436970_a_at	0.0045017	1.14E-05	-9.322584	3.943144	-0.8647307	Pdgfrb
1456812_at	0.0045046	1.15E-05	-9.310342	3.933788	-0.9247376	Abcd2
1415991_a_at	0.0045046	1.16E-05	-9.295692	3.922575	-0.7937356	Klhdc3
1433853_at	0.0045046	1.17E-05	9.290093	3.918285	2.26492	Mib1
1437594_x_at	0.0045865	1.20E-05	-9.255194	3.891476	-1.1613794	Pigt
1429280_at	0.0045865	1.22E-05	-9.233352	3.874639	-0.8494374	Col22a1
1448865_at	0.0045865	1.23E-05	9.230879	3.87273	0.9159156	Hsd17b7
1436387_at	0.0045865	1.24E-05	-9.220888	3.865011	-1.0337042	C330006P03Rik///Homer1
1437324_x_at	0.0045865	1.24E-05	-9.217349	3.862276	-1.9959416	Fmod
1418020_s_at	0.0045955	1.25E-05	9.205108	3.852803	1.1414116	Cpd
1422967_a_at	0.0047249	1.30E-05	-9.161811	3.819183	-1.28718	Tfrc
1417611_at	0.0052772	1.46E-05	9.019898	3.707753	1.0555651	Tmem37
1417014_at	0.0057294	1.60E-05	8.913187	3.622696	1.1045066	Hspb8
1449273_at	0.0059136	1.67E-05	8.866716	3.585308	1.4080274	Cyfip2
1420745_a_at	0.0060325	1.72E-05	8.825536	3.552002	0.9046744	Ccndbp1
1417979_at	0.0060325	1.73E-05	-8.825149	3.551688	-2.301815	Tnmd
1426327_s_at	0.006119	1.76E-05	-8.79955	3.530898	-0.7778359	Gm44505///Zfp91
1448881_at	0.0061464	1.79E-05	-8.785417	3.519392	-1.298483	Hp
1451527_at	0.006203	1.82E-05	-8.765023	3.502755	-1.0743819	Pcolce2
1457248_x_at	0.006203	1.83E-05	8.757162	3.496331	0.9638783	Hsd17b7
1460324_at	0.00623	1.85E-05	-8.743447	3.485108	-1.0589583	Dnmt3a
1438968_x_at	0.0062805	1.91E-05	8.709201	3.457003	0.9740582	Spint2
1436938_at	0.0062805	1.91E-05	-8.70807	3.456072	-0.8730476	Rbms3
1448618_at	0.0062805	1.92E-05	8.702363	3.451377	0.8934965	Mvp
1436791_at	0.0062805	1.92E-05	-8.700103	3.449516	-1.2363491	Wnt5a
1438018_at	0.0063229	1.95E-05	8.682075	3.434658	0.8861287	Hook1
1454674_at	0.0063229	1.98E-05	8.6684	3.423365	0.8535366	Fez1
1453552_at	0.0063229	1.98E-05	-8.667556	3.422667	-1.2741459	Plet1os
1423724_at	0.0063531	2.00E-05	8.653956	3.411416	0.7935329	Zwint
1417871_at	0.0065638	2.09E-05	8.601764	3.368064	0.9751005	Hsd17b7
1421163_a_at	0.0065638	2.10E-05	-8.59996	3.366561	-0.9726678	Nfia
1453840_at	0.0065638	2.11E-05	-8.592639	3.360457	-1.1688155	Pabpc1
1447927_at	0.0066429	2.15E-05	8.571116	3.342479	1.2712612	Gbp6
1452342_at	0.0067197	2.19E-05	-8.550254	3.325007	-1.1472682	Apbb2
1448676_at	0.0067532	2.22E-05	8.533251	3.310735	0.8103384	Camk2b
1419613_at	0.0067532	2.23E-05	8.529247	3.30737	0.8323135	Col7a1
1423596_at	0.0067541	2.25E-05	8.518232	3.298103	0.7368824	Nek6
1426719_at	0.0067541	2.30E-05	-8.49651	3.279792	-0.8344986	Apbb2
1460411_s_at	0.0067541	2.32E-05	-8.483352	3.268677	-0.7475107	Pkdcc
1423063_at	0.0067541	2.33E-05	-8.480499	3.266265	-1.0057471	Dnmt3a
1454808_at	0.0067541	2.34E-05	8.473266	3.260145	0.7728374	Micu2
1426383_at	0.0067541	2.34E-05	8.473212	3.260099	0.7597816	Cry2
1428130_at	0.0067541	2.35E-05	-8.468824	3.256384	-1.0029678	Lman1
1449591_at	0.0067541	2.37E-05	8.462987	3.251438	1.262164	Casp4
1453343_s_at	0.0067541	2.37E-05	-8.462716	3.251208	-1.0990372	Vrk2
1422444_at	0.0068846	2.43E-05	-8.434051	3.22687	-0.7477329	Itga6
1450857_a_at	0.0068979	2.45E-05	-8.424824	3.219017	-1.9624591	Col1a2
1421223_a_at	0.0070536	2.52E-05	8.392786	3.191681	0.9659503	Anxa4
1452757_s_at	0.0070684	2.54E-05	8.382158	3.182589	1.064678	Hba-a2///Hba-a1
1424598_at	0.0070684	2.57E-05	-8.371498	3.173458	-0.8665602	Ddx6
1437718_x_at	0.0070684	2.57E-05	-8.369778	3.171983	-2.1235876	Fmod
1440878_at	0.0072732	2.68E-05	8.32218	3.131056	1.6911165	Runx1
1459823_at	0.0072732	2.69E-05	-8.319592	3.128824	-0.832504	Ehd2
1450957_a_at	0.0072732	2.69E-05	8.317702	3.127194	0.7581939	Sqstm1
1440443_at	0.0072821	2.72E-05	-8.306428	3.117459	-0.8492834	E030016H06Rik
1440559_at	0.0072821	2.74E-05	8.298238	3.110379	0.8026074	Hmga2-ps1
1418171_at	0.0072821	2.75E-05	-8.296283	3.108688	-1.1855916	Tceal8
1417714_x_at	0.0072821	2.78E-05	8.28363	3.097733	3.0558481	Hba-a2///Hba-a1
1442033_at	0.0072821	2.78E-05	-8.283585	3.097695	-1.0216477	C1qtnf9
1419289_a_at	0.0073246	2.81E-05	8.270712	3.086531	0.6502137	Syngr1
1455340_at	0.0074067	2.86E-05	8.251997	3.07027	0.9610547	Dennd5b
1443960_at	0.007438	2.89E-05	8.241005	3.060702	0.7163558	Asrgl1
1423274_at	0.0074679	2.91E-05	8.230287	3.05136	1.1502924	Ints6
1425156_at	0.0075259	2.96E-05	-8.212883	3.036164	-1.1880657	Gbp7
1425710_a_at	0.0075259	2.97E-05	-8.209319	3.033048	-0.7748177	Homer1
1427405_s_at	0.0076704	3.05E-05	8.179698	3.007098	0.7776533	Rab11fip5
1448119_at	0.0076704	3.06E-05	8.176137	3.003972	0.782844	Bpgm
1416431_at	0.0077696	3.13E-05	8.153053	2.983673	1.4687227	Tubb6
1436918_at	0.0077696	3.14E-05	-8.14995	2.980941	-0.895516	Dyrk2
1451621_at	0.0077922	3.17E-05	-8.138516	2.970862	-0.749065	Desi2
1453724_a_at	0.0077922	3.18E-05	-8.134199	2.967052	-1.2140417	Serpinf1
1423110_at	0.0077922	3.20E-05	-8.128905	2.962377	-2.8954402	Col1a2
1421832_at	0.0078067	3.24E-05	8.115404	2.950444	0.6841238	Twsg1
1451275_at	0.0078067	3.24E-05	8.115134	2.950205	0.6916141	Uhrf1bp1l
1434112_at	0.0078667	3.28E-05	-8.100974	2.937666	-0.6505741	Adgrl2
1451814_a_at	0.0080804	3.39E-05	8.066068	2.906662	0.8871046	Htatip2
1429225_at	0.0081566	3.44E-05	8.050171	2.892499	1.1507274	Slc24a2
1453775_at	0.0082465	3.49E-05	8.032618	2.876826	1.3010955	Rictor
1429508_at	0.0082796	3.54E-05	8.018588	2.864275	0.7872383	2310057M21Rik
1440969_at	0.0082796	3.54E-05	-8.01703	2.86288	-0.895889	BC030308
1438676_at	0.008332	3.62E-05	7.993987	2.842214	1.8180323	Gbp6
1438403_s_at	0.008332	3.62E-05	7.993215	2.841521	1.0115258	Malat1
1418573_a_at	0.008332	3.64E-05	-7.988933	2.837674	-0.834845	Raly
1423501_at	0.008332	3.64E-05	-7.988099	2.836924	-0.7804362	Max
1460003_at	0.0083343	3.66E-05	-7.981442	2.830938	-0.7582369	AI956758
1435236_at	0.0083343	3.68E-05	-7.976229	2.826248	-0.8392345	Tceanc
1448816_at	0.0083343	3.70E-05	-7.971536	2.822023	-1.0485647	Ptgis
1416456_a_at	0.0088851	3.96E-05	7.897637	2.75516	1.5765015	Chia1
1416055_at	0.0089182	4.02E-05	7.881462	2.740442	0.9078745	Amy2a2///Amy2a3///Amy2a4///Amy2a1///Amy2a5
1431320_a_at	0.0089182	4.03E-05	7.879455	2.738614	0.7720759	Myo5a
1425859_a_at	0.0089182	4.03E-05	7.877878	2.737178	0.6617629	Psmd4
1448475_at	0.0089426	4.09E-05	-7.863118	2.723716	-0.897743	Olfml3
1419477_at	0.0089426	4.09E-05	-7.862018	2.722711	-1.6438851	Clec2d
1437685_x_at	0.0089426	4.10E-05	-7.859443	2.72036	-2.0446103	Fmod
1438197_at	0.0089709	4.14E-05	7.850959	2.712608	0.7319447	Vezt
1448201_at	0.0091354	4.25E-05	-7.823274	2.687253	-2.0010393	Sfrp2
1429215_at	0.0091354	4.25E-05	7.821536	2.685659	0.7239346	2310058N22Rik
1424263_at	0.0091526	4.28E-05	7.81451	2.679208	1.1681844	Aif1l
1428367_at	0.0092203	4.33E-05	-7.801718	2.66745	-0.8283941	Ndst1
1451442_at	0.0092545	4.37E-05	7.792481	2.658948	1.1020408	Cfap36
1428873_a_at	0.0092545	4.39E-05	-7.787887	2.654716	-0.7170356	Msl1
1419642_at	0.0092643	4.42E-05	-7.780686	2.648078	-0.7255511	Purb
1421553_at	0.0092643	4.47E-05	-7.76834	2.636682	-0.8824563	Epm2a
1441693_at	0.0092643	4.50E-05	-7.76228	2.631082	-0.9340375	Adamts3
1429786_a_at	0.0092643	4.51E-05	7.759083	2.628126	1.4190663	Zwint
1417225_at	0.0092643	4.57E-05	-7.745655	2.615698	-0.7010831	Arl6ip5
1448260_at	0.0092643	4.58E-05	7.743671	2.61386	1.0572696	Uchl1
1422012_at	0.0092643	4.60E-05	-7.73993	2.610393	-0.6593041	Crhr2
1428311_at	0.0092643	4.60E-05	-7.739911	2.610375	-0.6623769	Ccdc6
1450344_a_at	0.0092643	4.60E-05	-7.738703	2.609255	-1.0313208	Ptger3
1448721_at	0.0092643	4.63E-05	-7.731647	2.602711	-0.79166	D1Ertd622e
1456084_x_at	0.0092643	4.63E-05	-7.731425	2.602504	-2.1902362	Fmod
1418589_a_at	0.0092643	4.64E-05	-7.729346	2.600575	-0.7791041	Mlf1
1459695_at	0.0093365	4.70E-05	-7.716065	2.588236	-0.9714318	
1455816_a_at	0.0093365	4.72E-05	-7.711974	2.584432	-0.9540531	Kctd3
1417184_s_at	0.0094471	4.80E-05	7.695062	2.568682	1.0136009	Hbb-bt///Hbb-bs///Hbb-b2///Hbb-b1
1422660_at	0.0095094	4.86E-05	7.680612	2.5552	0.619658	Gm15453///Rbm3
1452956_a_at	0.0095094	4.87E-05	7.679114	2.553801	0.7341661	Ifi27
1418390_at	0.009511	4.89E-05	-7.674429	2.549422	-0.7965919	Phf21a
1419254_at	0.0095806	4.96E-05	7.660063	2.535984	1.1539678	Mthfd2
1448127_at	0.0095806	4.98E-05	7.656975	2.533091	0.6724195	Rrm1
1420465_s_at	0.0095806	5.00E-05	-7.650981	2.527475	-4.4030543	Mup19///Gm2083///Mup8///Mup7///Mup16///Mup15///Mup14///Mup13///Mup12///Mup10///Mup9///Mup2///Mup1
1434288_at	0.0095806	5.03E-05	-7.646048	2.52285	-0.7550655	Bivm
1455246_at	0.0095806	5.03E-05	-7.644609	2.5215	-0.6142212	Smarcc1
1433613_at	0.0097414	5.18E-05	-7.61463	2.493322	-0.6737553	Pank3
1434243_s_at	0.0097414	5.20E-05	-7.611242	2.490131	-0.6512625	Tomm70a
1422864_at	0.0097414	5.22E-05	7.607147	2.486272	1.9403495	Runx1
1424176_a_at	0.0097414	5.22E-05	7.606117	2.485301	1.3655452	Anxa4
1417471_s_at	0.0097414	5.25E-05	-7.600735	2.480226	-0.8336025	D1Ertd622e
1425914_a_at	0.0097414	5.26E-05	-7.598651	2.47826	-0.7038143	Armcx1
1428872_at	0.0097414	5.27E-05	-7.597129	2.476824	-0.6946582	Msl1
1436098_at	0.0098589	5.36E-05	-7.580494	2.461108	-1.1349287	Bche
1422103_a_at	0.0098848	5.39E-05	-7.573578	2.454564	-0.7384582	Stat5b
1437507_at	0.0099275	5.44E-05	-7.564701	2.446158	-0.6268513	Gatad2b
1419403_at	0.0099275	5.46E-05	-7.560765	2.442427	-1.0428983	Smco4
1453307_a_at	0.0099516	5.49E-05	7.554117	2.436122	0.6102075	Anapc5
1442061_at	0.0100379	5.56E-05	-7.54109	2.423751	-0.8807045	Btbd7
1434233_at	0.010045	5.63E-05	-7.528496	2.411773	-0.8322184	Vma21
1452005_at	0.010045	5.65E-05	-7.52562	2.409035	-0.658856	Dlat
1451935_a_at	0.010045	5.65E-05	7.525085	2.408525	0.7086463	Spint2
1417413_at	0.010045	5.67E-05	7.521819	2.405414	0.7425199	Cuzd1
1417585_at	0.010045	5.68E-05	-7.520002	2.403682	-0.6324111	Nup210
1423669_at	0.0100471	5.70E-05	-7.515766	2.399645	-2.0654562	Col1a1
1420981_a_at	0.0101368	5.78E-05	-7.502649	2.387129	-0.7799178	Lmo4
1428111_at	0.0101971	5.84E-05	-7.491221	2.376207	-0.8251081	Slc38a4
1424684_at	0.0101971	5.86E-05	-7.488628	2.373726	-1.1252521	Rab5c
1421836_at	0.0102226	5.89E-05	7.482123	2.367501	0.6505534	Map7
1425534_at	0.0102572	5.94E-05	7.474747	2.360435	0.6856538	Stau2
1437428_x_at	0.0103203	6.00E-05	7.464569	2.350676	0.5832265	Eif2b2
1451446_at	0.0103308	6.02E-05	-7.459642	2.345946	-0.8505915	Antxr1
1428637_at	0.0104944	6.14E-05	-7.439744	2.326817	-0.9330898	Dyrk2
1437188_at	0.0105543	6.23E-05	-7.425843	2.313423	-0.8522358	Gabbr1
1431199_at	0.0105543	6.25E-05	-7.422854	2.310542	-0.61867	Ggnbp1
1456610_at	0.0105543	6.25E-05	-7.421678	2.309407	-0.6801882	Kdm6b
1452517_at	0.0105543	6.29E-05	7.4158	2.303734	1.1503498	Plekhh1
1455998_at	0.0105543	6.30E-05	-7.414383	2.302366	-0.7377397	Zbed6
1437708_x_at	0.0105543	6.32E-05	-7.411098	2.299193	-0.6931887	Vamp3
1424159_at	0.0105783	6.36E-05	-7.405035	2.293334	-0.6795315	Fam134c
1437393_at	0.0105839	6.38E-05	-7.400756	2.289195	-0.6302238	Prkca
1431611_a_at	0.0106935	6.47E-05	7.38659	2.27548	0.7945292	Cadm1
1417052_at	0.0107701	6.57E-05	7.371209	2.26056	0.6136904	Psmb3
1416039_x_at	0.0107701	6.58E-05	7.370348	2.259725	1.0362327	Cyr61
1438862_at	0.0107701	6.59E-05	7.367695	2.257148	0.8003978	
1426997_at	0.0107701	6.64E-05	-7.360338	2.249999	-0.7581335	Thra
1457667_x_at	0.0107701	6.66E-05	-7.357794	2.247525	-0.5978321	Dyrk2
1455220_at	0.0107701	6.71E-05	-7.350045	2.239985	-0.8555423	Frat2
1424072_at	0.0107701	6.73E-05	7.347407	2.237416	1.02257	2010107G23Rik
1424245_at	0.0107701	6.75E-05	7.344397	2.234485	2.4028964	Ces2d-ps///Ces2c
1421761_a_at	0.0107701	6.75E-05	-7.343533	2.233643	-1.06396	Barx2
1455547_at	0.0107701	6.76E-05	-7.343006	2.23313	-0.9520915	Zc3h7b
1455649_at	0.0108995	6.86E-05	7.327418	2.217926	1.1314781	Ttc9
1417602_at	0.0110736	7.01E-05	7.305617	2.196613	1.0029084	Per2
1430047_at	0.0110736	7.02E-05	7.304423	2.195444	0.8356152	Slf1
1417341_a_at	0.0112855	7.20E-05	7.279158	2.170667	0.7737671	Ppp1r2
1452905_at	0.0112855	7.21E-05	-7.277873	2.169404	-1.3116076	Meg3
1418745_at	0.0112855	7.23E-05	-7.274941	2.166524	-0.9638337	Omd
1436566_at	0.0113109	7.29E-05	7.267482	2.159189	0.7883169	Rab40b
1439450_x_at	0.0113109	7.30E-05	-7.265789	2.157524	-0.8225868	A230046K03Rik
1424474_a_at	0.0115299	7.47E-05	-7.242396	2.134473	-1.0091312	Camkk2
1415957_a_at	0.0115299	7.49E-05	7.239776	2.131887	0.5951225	Rrp1
1455967_at	0.0116775	7.67E-05	7.215612	2.107997	0.9833376	Sorbs1
1459894_at	0.0116775	7.69E-05	-7.213919	2.106321	-1.322376	Iqgap2
1423745_at	0.0116775	7.69E-05	7.213631	2.106036	0.5927472	Snap47
1458439_a_at	0.0116775	7.72E-05	-7.210291	2.102727	-0.7529763	Dzip3
1447504_at	0.0116775	7.76E-05	-7.205203	2.097684	-0.7912693	
1436624_at	0.0116775	7.77E-05	-7.203301	2.095798	-0.8880809	Dnm3
1422791_at	0.0116775	7.80E-05	7.199411	2.09194	0.631183	Pafah1b2
1419527_at	0.0116775	7.87E-05	-7.190768	2.08336	-1.5389811	Comp
1426259_at	0.0116775	7.87E-05	-7.190295	2.08289	-0.8212154	Pank3
1452473_at	0.0116775	7.92E-05	-7.184661	2.077292	-0.661237	Prr15
1434045_at	0.0116775	7.94E-05	-7.182348	2.074993	-0.7502567	Cdkn1b
1453187_at	0.0116775	7.95E-05	7.180841	2.073494	0.8739399	Ociad2
1445727_at	0.0116775	7.95E-05	-7.180742	2.073395	-0.9566947	Ube3a
1438236_at	0.0116775	7.95E-05	-7.180698	2.073352	-0.7172504	Nfia
1422135_at	0.0117336	8.02E-05	-7.172253	2.064948	-1.4044129	LOC102643033
1441988_at	0.0117336	8.06E-05	-7.166863	2.05958	-0.9282357	Ppm1k
1451109_a_at	0.0117336	8.07E-05	7.166064	2.058784	0.6597783	Nedd4
1436168_at	0.0117336	8.11E-05	-7.161292	2.054028	-0.6263196	C730029A08Rik///Paqr9
1422609_at	0.0117336	8.13E-05	7.158274	2.051018	0.6301569	Arpp19
1441636_at	0.0117336	8.14E-05	-7.15678	2.049528	-1.1633932	
1435053_s_at	0.0118548	8.25E-05	7.143465	2.036235	0.7353914	Plekhh1
1427054_s_at	0.0118701	8.29E-05	-7.139048	2.03182	-1.4968361	Abi3bp
1418726_a_at	0.0119449	8.37E-05	7.129722	2.022491	1.2347827	Tnnt2
1417061_at	0.0119486	8.40E-05	-7.126304	2.019069	-0.9225907	Slc40a1
1427677_a_at	0.0119706	8.45E-05	-7.120749	2.013504	-0.5880755	Sox6
1427556_at	0.0119706	8.47E-05	-7.118287	2.011037	-1.0685033	Mylk2
1438288_x_at	0.0120183	8.54E-05	-7.109765	2.002489	-1.0029158	1110059G02Rik///Sntb1
1455665_at	0.0120183	8.63E-05	7.09947	1.992152	0.5923458	Lonrf1
